Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),File format type (product.metafields.shopify.file-format-type),Fit (product.metafields.shopify.fit),Frame style (product.metafields.shopify.frame-style),Neckline (product.metafields.shopify.neckline),Operating system (product.metafields.shopify.operating-system),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Wallpaper theme (product.metafields.shopify.wallpaper-theme),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sackcloth-mauve,Sackcloth Clay,"<p>320GSM heavy cotton</p>
<p>French Terry</p>
<p>Oversized and Cropped</p>",1NRI,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,clothing,"Inri Mainline, Intercessory Department, Men, Shirts, T Shirts, Women",true,Size,Brick,,Sizes,S,,,,,,300.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9645-2_35a2c448-72e5-426d-8e9a-22b1d4720a62.jpg?v=1770727345,1,"",false,,,,,adults,brown,cotton,,,,round,,,,short,unisex,,crop-top,,,,,,,,kg,,,active
sackcloth-mauve,,,,,,,,,Brick,,,M,,,,,,300.0,shopify,1,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9633-2_7ada7614-9670-4054-a81e-7f911f995817.jpg?v=1770727345,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sackcloth-mauve,,,,,,,,,Brick,,,L,,,,,,300.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9857-2_6efc48b5-b96e-4006-8b68-cf152beec6d0.jpg?v=1770727345,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sackcloth-mauve,,,,,,,,,Brick,,,XL,,,,,,300.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9851-2_afe79ee8-0253-44f2-b840-0a6692124d8e.jpg?v=1770727345,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sackcloth-mauve,,,,,,,,,Brick,,,XXL,,,,,,300.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sackcloth-obsidian,Sackcloth Obsidian,"<p>320GSM heavy cotton</p>
<p>French Terry</p>
<p>Oversized and Cropped</p>",1NRI,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,clothing,"Inri Mainline, Intercessory Department, Men, Shirts, T Shirts, Women",true,Size,Black,,Sizes,S,,,,,,300.0,shopify,1,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9667-2_1a70d3c7-5a71-4549-89f9-263205b4179e.jpg?v=1770725785,1,"",false,,,,,adults,black,cotton,,,,round,,,,short,unisex,,crop-top,,,,,,,,kg,,,active
sackcloth-obsidian,,,,,,,,,Black,,,M,,,,,,300.0,shopify,1,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9810-2_670f51ce-6357-47e4-a6f5-2669dda4fc1e.jpg?v=1770725798,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sackcloth-obsidian,,,,,,,,,Black,,,L,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9688-2.jpg?v=1770726070,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sackcloth-obsidian,,,,,,,,,Black,,,XL,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sackcloth-obsidian,,,,,,,,,Black,,,XXL,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
